,Año,Zona,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
368,2022,Ciudad de Madrid,8669,5860,5810,6420,7660,9450,8110,7610,7870,6540,7580,6870,6910
369,2022,01. Centro,1995,960,910,1300,1790,2180,2170,2120,1730,1620,1610,1730,1830
370,2022,02. Arganzuela,2660,170,150,170,200,380,320,90,180,330,250,130,290
371,2022,03. Retiro,1290,50,70,80,110,140,120,180,160,80,90,80,130
372,2022,04. Salamanca,6310,540,470,570,470,760,600,390,500,450,530,550,480
373,2022,05. Chamartín,2630,200,240,140,320,250,280,140,100,220,320,230,190
374,2022,06. Tetuán,4690,270,220,240,620,840,500,440,410,260,330,300,260
375,2022,07. Chamberí,2080,120,170,250,210,240,160,180,120,150,180,120,180
376,2022,08. Fuencarral-El Pardo,2820,240,190,190,210,170,210,230,300,150,460,240,230
377,2022,09. Moncloa-Aravaca,2370,120,200,170,210,210,190,190,170,270,280,220,140
378,2022,10. Latina,4640,280,360,340,350,560,380,390,440,390,410,410,330
379,2022,11. Carabanchel,5290,350,390,430,410,490,460,450,470,340,640,470,390
380,2022,12. Usera,3410,360,230,370,300,390,210,290,320,360,180,190,210
381,2022,13. Puente de Vallecas,9910,880,600,790,910,1110,800,840,1130,800,860,650,540
382,2022,14. Moratalaz,750,60,50,40,100,60,70,70,70,50,50,70,60
383,2022,15. Ciudad Lineal,5140,430,530,380,450,400,350,490,530,220,570,380,410
384,2022,16. Hortaleza,2480,130,220,180,150,210,160,270,210,190,110,270,380
385,2022,17. Villaverde,3030,240,230,220,250,390,450,220,300,120,180,120,310
386,2022,18. Villa de Vallecas,2210,140,200,190,210,180,160,150,290,180,130,210,170
387,2022,19. Vicálvaro,830,30,30,60,70,60,120,110,90,40,80,110,30
388,2022,20. San Blas-Canillejas,3270,280,310,240,220,310,340,310,280,160,230,300,290
389,2022,21. Barajas,930,10,40,70,100,120,60,60,70,160,90,90,60
390,2022,Otras zonas,0,0,0,0,0,0,0,0,0,0,0,0,0
