
Año;Zona;Total;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2006;Ciudad de Madrid;10.205;678;664;846;869;824;810;787;722;808;1.041;1.111;1.045
2006;01. Centro;2.385;128;128;154;208;193;200;194;164;186;308;256;266
2006;02. Arganzuela;486;44;47;51;45;49;37;38;18;25;40;35;57
2006;03. Retiro;708;36;40;62;50;70;70;72;61;58;39;96;54
2006;04. Salamanca;403;41;22;34;42;21;34;41;21;24;39;45;39
2006;05. Chamartín;383;28;22;22;30;26;18;36;38;24;52;39;48
2006;06. Tetuán;570;32;53;64;41;37;36;32;52;55;54;52;62
2006;07. Chamberí;205;13;18;18;27;11;11;19;16;15;18;25;14
2006;08. Fuencarral-El Pardo;238;20;15;20;19;24;28;20;21;24;18;14;15
2006;09. Moncloa-Aravaca;381;24;20;38;42;24;42;35;29;28;29;32;38
2006;10. Latina;436;38;33;45;38;43;29;30;23;33;45;48;31
2006;11. Carabanchel;631;34;52;38;43;56;31;45;31;55;64;122;60
2006;12. Usera;430;29;29;39;44;31;41;35;29;35;39;30;49
2006;13. Puente de Vallecas;767;48;33;59;63;48;63;42;54;57;71;107;122
2006;14. Moratalaz;148;12;10;12;17;15;12;3;8;22;15;11;11
2006;15. Ciudad Lineal;534;32;24;61;34;40;48;40;47;41;60;52;55
2006;16. Hortaleza;113;11;7;4;7;11;9;4;14;8;14;10;14
2006;17. Villaverde;537;26;45;45;33;52;41;39;34;49;70;54;49
2006;18. Villa de Vallecas;393;46;37;41;44;27;23;33;26;24;37;32;23
2006;19. Vicálvaro;139;9;10;15;13;21;10;17;11;8;9;9;7
2006;20. San Blas-Canillejas;228;16;14;20;21;17;19;9;18;29;15;26;24
2006;21. Barajas;81;11;5;3;8;7;8;2;5;8;5;13;6
2006;Otras zonas;9;0;0;1;0;1;0;1;2;0;0;3;1
2007;Ciudad de Madrid;12.203;916;948;1.240;1.103;940;1.050;963;968;954;1.034;1.072;1.015
2007;01. Centro;2.671;179;132;218;218;171;184;196;304;159;253;349;308
2007;02. Arganzuela;585;49;48;56;64;54;56;41;45;40;40;54;38
2007;03. Retiro;621;68;53;88;72;44;49;44;32;47;47;45;32
2007;04. Salamanca;384;29;41;57;51;24;27;35;18;27;32;28;15
2007;05. Chamartín;350;30;37;31;35;24;32;23;23;22;25;33;35
2007;06. Tetuán;663;36;61;81;52;65;59;54;49;50;71;33;52
2007;07. Chamberí;310;19;31;31;44;25;28;18;14;27;24;21;28
2007;08. Fuencarral-El Pardo;295;19;20;21;19;28;39;29;30;25;24;22;19
2007;09. Moncloa-Aravaca;321;23;34;33;29;19;22;22;16;31;27;21;44
2007;10. Latina;429;30;41;60;44;30;31;31;26;32;38;36;30
2007;11. Carabanchel;951;75;60;105;88;75;92;77;66;77;83;63;90
2007;12. Usera;570;32;47;68;46;53;42;44;43;59;49;42;45
2007;13. Puente de Vallecas;1.304;99;133;155;112;103;107;109;107;118;85;96;80
2007;14. Moratalaz;170;14;15;12;19;12;17;14;6;11;15;12;23
2007;15. Ciudad Lineal;689;55;54;53;49;59;61;63;42;67;74;64;48
2007;16. Hortaleza;182;9;9;15;33;8;21;13;14;15;9;16;20
2007;17. Villaverde;551;61;58;49;39;38;46;36;33;37;58;55;41
2007;18. Villa de Vallecas;535;29;29;44;50;59;70;59;52;59;33;31;20
2007;19. Vicálvaro;145;17;8;16;16;11;15;10;12;11;8;7;14
2007;20. San Blas-Canillejas;347;32;29;37;16;31;24;35;30;29;28;33;23
2007;21. Barajas;95;7;8;9;7;7;13;8;5;11;9;6;5
2007;Otras zonas;35;4;0;1;0;0;15;2;1;0;2;5;5
2008;Ciudad de Madrid;15.361;1.007;1.413;1.303;1.292;1.283;1.361;1.220;1.047;1.156;1.505;1.454;1.320
2008;01. Centro;3.964;243;452;343;375;318;317;298;284;262;347;394;331
2008;02. Arganzuela;847;60;70;55;59;66;82;83;52;85;71;82;82
2008;03. Retiro;556;46;38;53;43;69;57;61;40;33;41;31;44
2008;04. Salamanca;510;34;20;48;48;41;58;50;28;33;47;64;39
2008;05. Chamartín;481;22;44;40;39;31;30;40;32;47;49;52;55
2008;06. Tetuán;854;52;60;56;70;58;91;70;63;91;71;84;88
2008;07. Chamberí;382;19;30;37;23;47;31;29;34;30;35;28;39
2008;08. Fuencarral-El Pardo;641;39;42;62;67;63;89;53;49;43;50;43;41
2008;09. Moncloa-Aravaca;359;23;15;32;37;25;28;27;35;37;38;41;21
2008;10. Latina;567;53;56;50;47;44;45;58;37;36;40;42;59
2008;11. Carabanchel;1.188;73;135;102;107;81;114;98;49;84;163;93;89
2008;12. Usera;770;61;110;48;64;80;53;41;56;51;73;80;53
2008;13. Puente de Vallecas;1.282;76;79;103;103;122;123;95;101;110;144;125;101
2008;14. Moratalaz;244;12;13;22;10;13;25;22;17;18;40;23;29
2008;15. Ciudad Lineal;814;57;84;81;61;82;76;45;50;57;64;67;90
2008;16. Hortaleza;270;12;8;18;17;15;15;18;16;16;49;39;47
2008;17. Villaverde;572;43;65;53;48;43;34;44;32;45;67;61;37
2008;18. Villa de Vallecas;378;23;48;28;19;26;32;29;23;24;61;40;25
2008;19. Vicálvaro;167;20;14;18;19;15;12;14;5;16;15;9;10
2008;20. San Blas-Canillejas;348;30;22;40;22;35;35;27;28;22;31;32;24
2008;21. Barajas;147;7;5;10;10;8;13;15;16;16;8;23;16
2008;Otras zonas;20;2;3;4;4;1;1;3;0;0;1;1;0
2009;Ciudad de Madrid;15.338;1.157;1.364;1.400;1.278;1.618;1.239;1.284;1.115;1.284;1.396;1.090;1.113
2009;01. Centro;3.997;344;363;338;298;444;237;382;213;331;367;301;379
2009;02. Arganzuela;841;67;81;78;91;86;74;69;80;62;66;49;38
2009;03. Retiro;453;34;39;44;47;31;31;46;39;47;50;22;23
2009;04. Salamanca;482;50;42;43;43;43;47;31;28;39;40;32;44
2009;05. Chamartín;453;31;40;52;30;39;42;40;36;34;39;32;38
2009;06. Tetuán;729;54;81;64;66;70;72;48;54;54;72;40;54
2009;07. Chamberí;438;33;33;30;27;65;21;59;30;33;49;33;25
2009;08. Fuencarral-El Pardo;622;49;45;44;35;65;49;53;64;44;53;61;60
2009;09. Moncloa-Aravaca;413;24;28;42;39;42;32;46;23;37;47;31;22
2009;10. Latina;514;38;36;43;51;74;36;34;48;34;47;42;31
2009;11. Carabanchel;1.135;62;100;111;74;118;93;83;88;104;98;103;101
2009;12. Usera;661;60;76;62;68;62;47;43;49;61;54;37;42
2009;13. Puente de Vallecas;1.322;110;103;112;117;140;123;101;93;138;118;90;77
2009;14. Moratalaz;414;25;25;53;31;49;53;53;26;28;37;21;13
2009;15. Ciudad Lineal;885;57;75;74;79;99;86;41;68;82;75;72;77
2009;16. Hortaleza;285;20;27;53;19;13;38;30;36;17;17;7;8
2009;17. Villaverde;634;38;67;57;65;64;48;46;69;55;54;41;30
2009;18. Villa de Vallecas;338;25;33;29;38;29;28;26;26;23;46;25;10
2009;19. Vicálvaro;178;6;24;15;11;21;22;12;13;10;18;19;7
2009;20. San Blas-Canillejas;373;16;33;32;32;42;41;24;25;39;39;24;26
2009;21. Barajas;165;14;13;24;17;22;16;17;7;12;9;8;6
2009;Otras zonas;6;0;0;0;0;0;3;0;0;0;1;0;2
2010;Ciudad de Madrid;15.624;975;1.175;1.403;1.298;1.308;1.107;1.134;985;1.241;1.680;1.772;1.546
2010;01. Centro;3.568;243;301;364;350;344;281;209;213;267;349;347;300
2010;02. Arganzuela;678;53;37;64;52;48;45;47;48;50;77;82;75
2010;03. Retiro;447;20;24;33;29;43;31;37;32;50;68;58;22
2010;04. Salamanca;652;40;38;42;50;24;40;57;48;39;87;116;71
2010;05. Chamartín;459;24;41;41;44;34;25;29;16;36;46;55;68
2010;06. Tetuán;884;34;65;64;82;77;78;90;68;72;82;84;88
2010;07. Chamberí;567;23;40;42;27;23;25;39;23;64;74;79;108
2010;08. Fuencarral-El Pardo;651;80;53;58;54;50;63;51;21;60;56;51;54
2010;09. Moncloa-Aravaca;439;31;31;53;32;36;34;29;28;47;53;39;26
2010;10. Latina;683;27;49;53;27;70;36;47;45;82;95;76;76
2010;11. Carabanchel;1.221;61;89;121;103;94;83;99;70;67;115;146;173
2010;12. Usera;694;52;49;42;69;63;45;39;33;49;65;113;75
2010;13. Puente de Vallecas;1.491;62;104;129;118;137;90;119;115;112;149;215;141
2010;14. Moratalaz;341;35;22;38;16;21;28;32;28;13;21;55;32
2010;15. Ciudad Lineal;1.002;78;90;95;84;93;77;60;75;80;112;75;83
2010;16. Hortaleza;224;18;15;25;20;20;17;7;16;20;16;16;34
2010;17. Villaverde;459;38;23;42;34;51;30;46;30;41;49;41;34
2010;18. Villa de Vallecas;421;15;29;27;39;33;29;30;23;34;77;49;36
2010;19. Vicálvaro;193;15;42;18;17;12;12;18;9;14;17;9;10
2010;20. San Blas-Canillejas;359;21;27;42;22;17;27;29;31;28;50;44;21
2010;21. Barajas;181;5;6;10;26;18;10;20;13;16;21;18;18
2010;Otras zonas;10;0;0;0;3;0;1;0;0;0;1;4;1
2011;Ciudad de Madrid;20.687;1.498;1.844;1.967;1.924;2.033;1.915;1.578;1.418;1.611;1.805;1.590;1.504
2011;01. Centro;4.286;288;344;341;395;508;305;327;279;370;361;342;426
2011;02. Arganzuela;886;76;101;80;57;90;72;71;64;59;85;74;57
2011;03. Retiro;460;23;27;37;34;51;68;47;29;43;32;39;30
2011;04. Salamanca;1.367;68;77;107;112;130;119;118;80;109;121;198;128
2011;05. Chamartín;661;64;98;72;92;64;66;32;20;42;48;31;32
2011;06. Tetuán;962;83;77;101;94;84;80;83;63;54;86;75;82
2011;07. Chamberí;1.055;100;111;100;91;121;90;97;68;73;96;57;51
2011;08. Fuencarral-El Pardo;657;28;53;75;75;58;86;33;55;33;54;54;53
